,name,geometry,probability
0,235252018,POINT (117613.57126778882 426301.1554181133),0.0
1,235252119,POINT (117836.58724705542 426330.2614103628),4.23998515809181e-05
2,463451021,POINT (231708.2224030188 525975.5578082259),2.1231577019689493e-05
3,463451019,POINT (231916.75553944588 525977.0497998097),0.00015717124201946364
4,398527047,POINT (199413.66388493002 563825.6798084958),0.00010009355421496023
5,398527049,POINT (199489.35291989558 563924.0568051212),2.945046488233089e-05
6,181193019,POINT (90580.95437395571 396849.94019268506),2.2430222953976757e-05
7,181194074,POINT (90742.02526446414 397156.5961885625),1.252344513880173e-05
8,205343058,POINT (102809.93191585844 471704.18923505454),9.516415986374292e-06
9,205343039,POINT (102944.81492198978 471665.7682305212),0.0
10,399110011,POINT (199588.77236804037 355208.0556359154),2.482434231324011e-05
11,399110010,POINT (199665.16334936544 355307.39363319153),3.5371256083866715e-05
12,62192059,POINT (31396.656976137285 396473.6566938426),3.858370517422405e-06
13,62192051,POINT (31398.665989264522 396456.53969364084),7.09556510033961e-07
14,360462059,POINT (180317.83950903243 531393.5366943323),7.6162548368840605e-06
15,360461003,POINT (180377.81749830034 530929.7656945689),1.4003801380202494e-05
16,182278198,POINT (91373.81830412809 439261.7684890942),0.0
17,183278202,POINT (91521.48926470298 439377.94248432084),7.059416043750598e-05
18,342364049,POINT (171112.88569102064 482419.76607002114),2.8939833347824993e-05
19,342364047,POINT (171203.13169203792 482428.6690671657),0.00012867498382820047
20,362272062,POINT (181489.1370390267 436391.44046973845),1.2726449389082334e-05
21,362272061,POINT (181485.62104348425 436496.8404707608),0.0003430552111370728
22,362278031,POINT (181058.63217020573 439289.0425070364),4.600414254256121e-05
23,362277020,POINT (181136.26314696507 438769.44850037456),2.606510907587413e-05
24,384299025,POINT (192277.2753454613 449975.0142682596),3.638053553385588e-05
25,384300034,POINT (192321.07535146305 450099.60226780834),0.0001834927393365946
26,66185021,POINT (33195.212387224004 392691.0855887952),6.791966089437277e-06
27,66184033,POINT (33234.424660722216 392319.0605842021),2.9271228916662717e-05
28,403405093,POINT (201513.46447977758 502647.2350700114),4.661649744396826e-05
29,403405092,POINT (201618.00950661628 502779.23806600453),3.117706625791701e-05
30,171318042,POINT (85577.71126434386 459025.01978324394),0.00010101330390398588
31,171318065,POINT (85834.68820864237 459292.6457749851),6.0454420743932005e-05
32,195262165,POINT (97572.80991205868 431302.50920133555),9.156345208100038e-05
33,195262162,POINT (97621.05390025894 431338.10019979376),3.2018180000746016e-05
34,72182175,POINT (36376.793128890204 391200.8394406248),3.838213984178427e-06
35,72182152,POINT (36463.85289572577 391298.9684376763),5.451514912636584e-05
36,390391025,POINT (195010.8342104544 495848.3083052042),0.0002083007933588065
37,390392103,POINT (195197.3142659177 496451.4952981557),4.9351948784602664e-05
